run,method,k,mode,waiting,seed,status,result_status,proof_scope,raw_ub,post_ip_ub,selected_ub,lb,gap,served,unserved,run_seconds,build_seconds,solve_seconds,prepare_seconds,setup_seconds,network_seconds,seed_seconds,validation_seconds,time_to_first_incumbent_seconds,node_count,post_ip_seconds,callback_extraction_seconds,callback_validation_seconds,progress_delivery_seconds,variables,constraints,movement_variables,passenger_variables,peak_rss_mb,problem_fingerprint,comparison_fingerprint,source,last_ub_improvement_seconds,ub_at_60s,lb_at_60s,ub_at_120s,lb_at_120s,ub_at_300s,lb_at_300s,ub_at_600s,lb_at_600s,ub_at_900s,lb_at_900s,ub_at_1200s,lb_at_1200s,ub_at_1500s,lb_at_1500s,ub_at_1800s,lb_at_1800s
k38_waiting_600s_seed0,cp_sat_product,38,skip_stop,1200.0,0,FEASIBLE,,FIXED_K_GLOBAL,399287.271408,399287.271408,399287.271408,90630.229149,0.7730199892688485,1280,0,600.7493148329959,1.1002241660025902,598.6280564580011,0.1737748749947059,,,0.2007164169990574,0.4148078739963239,,,1.471689541998785,0.009082707998459227,0.4287810419991729,0.007317546980630141,49303,103054,,,3470.96875,4f0fd1aa704aead51b053c8d6a55c795473a5046a84f36ccb07f77e01339aebc,,/Users/felix/Programming/idp/ropeway/ropeway_skip_stop_optimization/benchmarks/output/solver_followup_20260909/k38_waiting_600s_seed0/result.json,,399287.271408,53532.46576,399287.271408,54219.590777,399287.271408,57316.775151,399287.271408,90630.229149,,,,,,,,
k39_anonymous_1800s_seed0,exact_anonymous,39,skip_stop,0,0,9,time_limit_with_certified_interval,FIXED_K_GLOBAL,1262099.935264,1262099.935264,1262099.935264,433230.96576125314,0.6567379859102583,416,864,1774.6954267089968,5.706572791001236,1757.0080620000008,,2.28749995585531e-05,6.265805167000508,0.9814746670017485,0.3257895409988123,0.0,1.0,0.6310353329972713,,,,,397553,31958,336582,4530.765625,8da510b22110d3d568f2299d957dd53b949a34389472f11d9043e789c9696749,,/Users/felix/Programming/idp/ropeway/ropeway_skip_stop_optimization/benchmarks/output/solver_followup_20260909/k39_anonymous_1800s_seed0/result.json,,1262099.935264,0.0,1262099.935264,0.0,1262099.935264,0.0,1262099.935264,0.0,1262099.935264,407312.5964154247,1262099.935264,407312.5964154247,1262099.935264,407312.5964154247,,
k39_waiting_1800s_seed0,cp_sat_product,39,skip_stop,1200.0,0,FEASIBLE,,FIXED_K_GLOBAL,874705.10968,874705.10968,874705.10968,131762.77609,0.8493632029448144,1280,0,1800.5171588750018,1.0662464169945451,1794.9995425829984,3.949692333000712,,,0.11328341600165004,0.24083183299808297,,,0.980520291996072,4.998125629041169,10.427001828960783,0.04995570688333828,51076,106782,,,4090.796875,f0dd3749dd2f6ead9e3efccf0a05b04369e71c63dda6b09adec8c84feec48c5e,,/Users/felix/Programming/idp/ropeway/ropeway_skip_stop_optimization/benchmarks/output/solver_followup_20260909/k39_waiting_1800s_seed0/result.json,1792.9763944160004,1005329.683816,0.0,997888.93772,50501.851022,993368.027,50503.612925,920283.207978,74872.837373,907548.974968,94697.996184,905617.104896,113344.001798,883803.909984,131580.50062,874705.10968,131762.77609
k39_waiting_600s_seed1,cp_sat_product,39,skip_stop,1200.0,1,FEASIBLE,,FIXED_K_GLOBAL,975741.831456,975741.831456,975741.831456,81928.146276,0.9160350170149547,1184,96,600.4749553750007,1.095217166999646,594.9056899999996,3.980657166997844,,,0.11346874999435386,0.23031812500266824,,,1.0611310830063303,1.850976206973428,4.4315776680159615,0.023540747970400844,51076,106782,,,3117.609375,f0dd3749dd2f6ead9e3efccf0a05b04369e71c63dda6b09adec8c84feec48c5e,,/Users/felix/Programming/idp/ropeway/ropeway_skip_stop_optimization/benchmarks/output/solver_followup_20260909/k39_waiting_600s_seed1/result.json,596.485935167002,1007434.389448,50500.663913,1006941.69732,50812.091628,1000486.61408,51923.658055,975741.831456,81928.146276,,,,,,,,
k39_waiting_600s_seed2,cp_sat_product,39,skip_stop,1200.0,2,FEASIBLE,,FIXED_K_GLOBAL,977515.935616,977515.935616,977515.935616,71720.290136,0.9266300553035955,1216,64,600.4303599580016,1.1058243329971447,594.8757584580017,3.9589933330062195,,,0.11223008299566573,0.23049129200080642,,,0.9661525839983369,1.3912009250198025,3.695764833006251,0.018111913013854064,51076,106782,,,3381.40625,f0dd3749dd2f6ead9e3efccf0a05b04369e71c63dda6b09adec8c84feec48c5e,,/Users/felix/Programming/idp/ropeway/ropeway_skip_stop_optimization/benchmarks/output/solver_followup_20260909/k39_waiting_600s_seed2/result.json,593.2078509580024,1005634.904388,0.0,1002324.142232,0.0,988312.306128,51295.685916,977515.935616,71647.165613,,,,,,,,
matrix/diffuse_batch/all_stop,labeled,20,all_stop,0,0,2,integer_optimal,FIXED_K_GLOBAL,635519.99808,635519.99808,635519.99808,635519.99808,0.0,1280,0,1.1264353749938891,0.29566595800133655,0.02163124999788124,,3.095899592153728e-05,0.014027707999048289,0.30796441699931165,0.2598761669942178,0.0,1.0,0.23175774999253917,,,,,11291,725,5830,177.484375,33e3acf582881ba65985e352ff652b55761a90cb0866887347350f4bfebb072b,7842a278ac2dba74f03fe6ac096643e1b1bb967ec773d35cd7ab677d5f785a78,/Users/felix/Programming/idp/ropeway/ropeway_skip_stop_optimization/benchmarks/output/solver_followup_20260909/matrix/diffuse_batch/all_stop/result.json,0.47109091699530836,,,,,,,,,,,,,,,,
matrix/diffuse_batch/skip_stop,labeled,20,skip_stop,0,0,2,integer_optimal,FIXED_K_GLOBAL,525730.9081600001,525730.9081600001,525730.9081600001,525730.9081600001,0.0,1280,0,11.663904209002794,4.644241999994847,4.551038290999713,,2.4000000848900527e-05,1.4425128750008298,0.2944094159975066,0.17198429199925158,0.0,1.0,0.17053999999916414,,,,,288436,21630,158925,1118.34375,9dc3e678e07b49fd6c099955ba23477cfd8183844f69ab039a9fb545d9cdca2f,7842a278ac2dba74f03fe6ac096643e1b1bb967ec773d35cd7ab677d5f785a78,/Users/felix/Programming/idp/ropeway/ropeway_skip_stop_optimization/benchmarks/output/solver_followup_20260909/matrix/diffuse_batch/skip_stop/result.json,11.478578542002651,,,,,,,,,,,,,,,,
matrix/diffuse_distributed/all_stop,labeled,20,all_stop,0,0,2,integer_optimal,FIXED_K_GLOBAL,332987.27054699964,332987.27054699964,332987.27054699964,332987.27054699976,0.0,1270,10,2.1411814999955823,0.789575083006639,0.08294025000213878,,1.929200516315177e-05,0.01284250000026077,0.48205666699504945,0.4012706249995972,0.0,1.0,0.4098732079946785,,,,,39891,725,21620,225.46875,089a3385e5d0802b61b08e53401b7dfd8e9133417c86c5743249e7053cf53a24,dac8b1d4d128740764ea36d1e9be678976031031c9cd46ca893c7577bb2a16b1,/Users/felix/Programming/idp/ropeway/ropeway_skip_stop_optimization/benchmarks/output/solver_followup_20260909/matrix/diffuse_distributed/all_stop/result.json,0.7187748329961323,,,,,,,,,,,,,,,,
matrix/diffuse_distributed/skip_stop,labeled,20,skip_stop,0,0,9,time_limit_with_certified_interval,FIXED_K_GLOBAL,332987.27054699964,332987.27054699964,332987.27054699964,217919.53564208082,0.34556196312218346,1270,10,110.11245433400472,17.29399750000448,88.90289879099873,,1.3666001905221492e-05,1.364133666997077,0.4852692909989855,0.3732222079997882,0.0,1.0,0.37327745799848344,,,,,1009776,21630,623420,3417.53125,ece05a8c108305df403b1b0fb25d6171a7a316221f3142c7eab936bcb644f8ed,dac8b1d4d128740764ea36d1e9be678976031031c9cd46ca893c7577bb2a16b1,/Users/felix/Programming/idp/ropeway/ropeway_skip_stop_optimization/benchmarks/output/solver_followup_20260909/matrix/diffuse_distributed/skip_stop/result.json,0.7234853340050904,332987.27054699964,217919.53564208082,,,,,,,,,,,,,,
matrix/express_batch/all_stop,labeled,20,all_stop,0,0,2,integer_optimal,FIXED_K_GLOBAL,977672.7254400001,977672.7254400001,977672.7254400001,977672.7254400002,0.0,960,320,0.8714491249993443,0.17212124999787193,0.010928584000794217,,2.1957996068522334e-05,0.012903957998787519,0.2716531659971224,0.24606495799525874,0.0,1.0,0.21628283400059445,,,,,7821,725,3685,153.5,75dafa8bf7141463c4bb68882d686237ce94f8092f6f12ef9867c7cc7fb9a805,0f1532732cfe60c0970985314ea3b437a88d4bb34456dacb06bdc380fbe5f3f9,/Users/felix/Programming/idp/ropeway/ropeway_skip_stop_optimization/benchmarks/output/solver_followup_20260909/matrix/express_batch/all_stop/result.json,0.38381474999914644,,,,,,,,,,,,,,,,
matrix/express_batch/skip_stop,labeled,20,skip_stop,0,0,2,integer_optimal,FIXED_K_GLOBAL,786850.9081600005,786850.9081600005,786850.9081600005,786850.9081600005,0.0,1280,0,9.377895375000662,3.332410875002097,3.808438666004804,,1.5165998775046319e-05,1.362048583003343,0.2706406249999418,0.22735312499571592,0.0,1.0,0.1732354999985546,,,,,214176,21630,110720,940.9375,94f2f335e47cc02d8220f9d0414ba889d69dab4a77ba938fd88cb05ec465a2a8,0f1532732cfe60c0970985314ea3b437a88d4bb34456dacb06bdc380fbe5f3f9,/Users/felix/Programming/idp/ropeway/ropeway_skip_stop_optimization/benchmarks/output/solver_followup_20260909/matrix/express_batch/skip_stop/result.json,9.14205720800237,,,,,,,,,,,,,,,,
matrix/express_distributed/all_stop,labeled,20,all_stop,0,0,2,integer_optimal,FIXED_K_GLOBAL,609774.5436399999,609774.5436399999,609774.5436399999,609774.5436399997,3.818307046142102e-16,940,340,1.3353403329965658,0.4797309999994468,0.03646991699497448,,1.1500000255182385e-05,0.012697499994828831,0.3067410829971777,0.24656145900371484,0.0,1.0,0.2397952909959713,,,,,26861,725,13890,188.265625,954fe20a66c969a09259093f01b0433bcd2cefef7a58d43ac38cada58a940a2b,5391e3f2a29d3a3662fc44ea5313fe015bebbb601f78d73817af5d1166c3d56e,/Users/felix/Programming/idp/ropeway/ropeway_skip_stop_optimization/benchmarks/output/solver_followup_20260909/matrix/express_distributed/all_stop/result.json,0.47483858299528947,,,,,,,,,,,,,,,,
