source,method,k,fingerprint,t,stage,event,certified_global_lb,validated_global_ub,provisional_local_lb,provisional_local_ub
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_balanced_fixed_k_boundary_screening/events.jsonl,all_stop,20,,0.5891931250225753,mip_solve,solver_sample,0.0,,-5237730.935200005,1536000.0
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_balanced_fixed_k_boundary_screening/events.jsonl,all_stop,20,d3929ec55478390271bf0f4ffcf57f733c4387f8fe740e6c0ce14719fb44a7bb,0.8968161670491099,complete,trial_completed,635519.9980799997,635519.9980799997,635519.9980799997,635519.9980799997
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_balanced_fixed_k_boundary_screening/events.jsonl,all_stop,38,,0.41247829201165587,mip_solve,solver_sample,0.0,,-11189091.421360012,1536000.0
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_balanced_fixed_k_boundary_screening/events.jsonl,all_stop,38,a3e827da5489840fe679a605e6caad7dc94763ce3f505c94387b74cb151da835,1.3218536669155583,complete,trial_completed,399287.27140800026,399287.27140800026,399287.27140800026,399287.27140800026
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_balanced_fixed_k_boundary_screening/events.jsonl,all_stop,39,,0.0017029589507728815,analytic_all_stop_capacity,trial_completed,,,,
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_balanced_fixed_k_boundary_screening/events.jsonl,skip_stop,20,,11.883578457986005,mip_solve,solver_sample,0.0,,-293632040.2390026,
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_balanced_fixed_k_boundary_screening/events.jsonl,skip_stop,20,,14.590550999972038,mip_solve,solver_sample,525730.9081600006,,525730.9081600006,1103554.1816079998
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_balanced_fixed_k_boundary_screening/events.jsonl,skip_stop,20,2c53481066e498cc29ec206e717911f55d1ac30296cdc5cb8ac05139b35fbd01,15.688750999979675,complete,trial_completed,525730.9081600005,525730.9081600005,525730.9081600005,525730.9081600005
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_balanced_fixed_k_boundary_screening/events.jsonl,skip_stop,38,,29.706837665988132,mip_solve,solver_sample,0.0,,-552516343.5455451,
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_balanced_fixed_k_boundary_screening/events.jsonl,skip_stop,38,,600.4412506659282,mip_solve,solver_sample,0.0,,-552516343.5455451,1536000.0
