source,bytes,classification,records
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/manifest.json,3266,support_or_manifest,0
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/discrete_dt_0p5.json,1391543,support_or_manifest,0
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_build_artifact.json,25071075,support_or_manifest,0
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,329904,result_or_diagnostic,1
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time_movement_plan.json,208540,support_or_manifest,0
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time_physical_replay.json,533065,support_or_manifest,0
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/scenario.json,14521,support_or_manifest,0
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/manifest.json,3266,support_or_manifest,0
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/discrete_dt_0p5.json,1391543,support_or_manifest,0
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/ean_build_artifact.json,25071075,support_or_manifest,0
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/ean_passenger_service_journey_time.json,331833,result_or_diagnostic,1
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/ean_passenger_service_journey_time_movement_plan.json,208312,support_or_manifest,0
