source,lines,read_errors,campaign_points
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_balanced_fixed_k_boundary_screening/events.jsonl,20,0,13
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,90,0,76
benchmarks/output/ddd_fixed_k_arc_flow_pilot/five_station_b_arc_flow_skip_stop_k20_pilot/events.jsonl,6,0,3
benchmarks/output/ddd_fixed_k_arc_flow_smoke/arc_flow_smoke_preview/events.jsonl,4,0,1
benchmarks/output/ddd_fixed_k_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,103,0,89
benchmarks/output/ddd_fixed_k_campaigns/five_station_b_full_demand_fixed_k_hybrid_screening/events.jsonl,70,0,62
benchmarks/output/ddd_fixed_k_campaigns/five_station_b_half_demand_fixed_k_hybrid_screening/events.jsonl,67,0,57
benchmarks/output/ddd_fixed_k_campaigns/five_station_b_half_demand_fixed_k_neighborhood_gate/events.jsonl,17,0,15
benchmarks/output/ddd_fixed_k_campaigns/five_station_b_half_demand_fixed_k_neighborhood_gate_v2/events.jsonl,42,0,34
benchmarks/output/ddd_fixed_k_campaigns/five_station_fixed_k_screening/events.jsonl,80,0,72
benchmarks/output/ddd_fixed_k_feasibility/five_station_b_k23_115_live/events.jsonl,100,0,64
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k18_21/events.jsonl,1937,0,1754
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k19_long/events.jsonl,4189,0,4145
benchmarks/output/ddd_fleet_sweeps/five_station_b_no_wait_k18_21/events.jsonl,237,0,179
benchmarks/output/ddd_integrated_cp_sat/k20/build_product/events.jsonl,0,0,0
benchmarks/output/ddd_integrated_cp_sat/k20/product_300s_seed0_v2/events.jsonl,28,0,0
benchmarks/output/ddd_integrated_cp_sat/k20/unary_300s_seed0/events.jsonl,16,0,0
benchmarks/output/ddd_integrated_cp_sat/k39/build_product/events.jsonl,0,0,0
benchmarks/output/ddd_integrated_cp_sat/k39/product_600s_seed0/events.jsonl,90,0,0
benchmarks/output/ddd_integrated_cp_sat_waiting/k39/build_w1200_v2/events.jsonl,0,0,0
benchmarks/output/ddd_integrated_cp_sat_waiting/k39/no_wait_600s_seed0/events.jsonl,49,0,0
benchmarks/output/ddd_integrated_cp_sat_waiting/k39/smoke_w1200_30s/events.jsonl,1,0,0
benchmarks/output/ddd_integrated_cp_sat_waiting/k39/w1200_600s_seed0/events.jsonl,378,0,0
benchmarks/output/ddd_integrated_cp_sat_warmup/k39/warmup0_600s_seed0/events.jsonl,437,0,0
benchmarks/output/ddd_integrated_cp_sat_warmup/k39/warmup300_600s_seed0/events.jsonl,363,0,0
benchmarks/output/ddd_reservation_insertion/followup_cached_scope1_integrated/attempts.jsonl,100,0,0
benchmarks/output/ddd_reservation_insertion/followup_cached_scope1_integrated/events.jsonl,102,0,101
benchmarks/output/ddd_reservation_insertion/followup_cached_scope4/attempts.jsonl,100,0,0
benchmarks/output/ddd_reservation_insertion/followup_cached_scope4/events.jsonl,102,0,101
benchmarks/output/ddd_reservation_insertion/followup_cached_scope4_1500ms/attempts.jsonl,100,0,0
benchmarks/output/ddd_reservation_insertion/followup_cached_scope4_1500ms/events.jsonl,102,0,101
benchmarks/output/ddd_reservation_insertion/followup_cp_waiting_60s_control/events.jsonl,9,0,0
benchmarks/output/ddd_reservation_insertion/followup_final_scope4_250ms/attempts.jsonl,100,0,0
benchmarks/output/ddd_reservation_insertion/followup_final_scope4_250ms/events.jsonl,102,0,101
benchmarks/output/ddd_reservation_insertion/followup_finalist_replay/attempts.jsonl,9,0,0
benchmarks/output/ddd_reservation_insertion/followup_finalist_replay/events.jsonl,11,0,10
benchmarks/output/ddd_reservation_insertion/followup_profile_before/attempts.jsonl,30,0,0
benchmarks/output/ddd_reservation_insertion/followup_profile_before/events.jsonl,32,0,31
benchmarks/output/ddd_reservation_insertion/k39_scope1_beam8_v1/attempts.jsonl,100,0,0
benchmarks/output/ddd_reservation_insertion/k39_scope1_beam8_v1/events.jsonl,102,0,101
benchmarks/output/ddd_reservation_insertion/k39_scope4_beam1_v1/attempts.jsonl,100,0,0
benchmarks/output/ddd_reservation_insertion/k39_scope4_beam1_v1/events.jsonl,102,0,101
benchmarks/output/ddd_reservation_insertion/k39_scope4_beam8_v1/attempts.jsonl,100,0,0
benchmarks/output/ddd_reservation_insertion/k39_scope4_beam8_v1/events.jsonl,102,0,101
benchmarks/output/fixed_k_model_bakeoff/five_station_b_no_wait_model_bakeoff_k20_k39_30m/events.jsonl,35,0,31
benchmarks/output/fixed_k_model_bakeoff/five_station_b_no_wait_model_bakeoff_k20_k39_30m_v2/events.jsonl,54,0,50
benchmarks/output/fixed_k_model_bakeoff/five_station_b_no_wait_model_bakeoff_k20_k39_30m_v3/events.jsonl,1131,0,1125
benchmarks/output/smoke_fixed_k_model_bakeoff/smoke_fixed_k_model_bakeoff/events.jsonl,33,0,31
benchmarks/output/smoke_fixed_k_model_bakeoff/smoke_fixed_k_model_bakeoff_numeric/events.jsonl,37,0,33
benchmarks/output/smoke_fixed_k_model_bakeoff/smoke_fixed_k_model_bakeoff_tight/events.jsonl,33,0,31
