source,section,family,record_kind,scenario,k,method,objective_kind,status,fingerprint,start_policy,operating_mode,horizon,warmup,validation,time_limit,variables,rows,movement_variables,passenger_variables,build_seconds,network_seconds,prepare_seconds,solve_seconds,served,unserved,relative_gap,termination,timestamp,git_commit,root_lp_certified,ub,ub_field,lb,lb_field,time,time_field,waiting,maximum_wait_seconds,diagnostic_headway_feasible,diagnostic_headway_violation_count,exported_trajectory_count,objective_semantics,curve_basis,curve_samples,curve_units,first_ub,first_ub_time,first_lb,last_ub_improvement_time,last_lb_improvement_time,curve_end,curve_best_ub,curve_best_lb,ub_improvements,ub_at_30s,lb_at_30s,ub_at_60s,lb_at_60s,ub_at_120s,lb_at_120s,ub_at_300s,lb_at_300s,solver_policy_time_limit_seconds,solver_policy_threads,ub_at_600s,lb_at_600s,ub_at_1800s,lb_at_1800s,ub_at_3600s,lb_at_3600s,model_stats_variables,model_stats_constraints,primary_lower_bound,primary_upper_bound,secondary_lower_bound,secondary_upper_bound
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,affine_timing_20260714,artifact_snapshot,three_station_v0,,,,time_limit,,,,1200.0,,,300.0,82398,233193,,,,,,300.40515995025635,2428,1052,0.0651525878950434,,,,,2704689.090907703,objective_value_seconds,2528471.597183574,best_bound,300.40515995025635,runtime_seconds,,,,,15,reported_objective_verify_domain,solver_runtime,82,reported_objective_units,3435543.6363636353,0.07139182090759277,-1.3926637620897964e-12,134.08498883247375,162.90925788879395,300.40515995025635,2704689.0909083514,2528471.597183574,47,3028653.090909046,2463202.3554474544,2707295.3636363605,2504828.7617294486,2704713.454545449,2526950.5066153193,2704689.0909083514,2528471.597183574,,,,,,,,,,,,,,
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/ean_passenger_service_journey_time.json,root,affine_timing_20260714,artifact_snapshot,three_station_v0,,,,time_limit,,,,1200.0,,,300.0,82398,231900,,,,,,303.64192295074463,2424,1056,0.048284671984807744,,,,,2705130.181818168,objective_value_seconds,2574513.8583128746,best_bound,303.64192295074463,runtime_seconds,,,,,15,reported_objective_verify_domain,solver_runtime,86,reported_objective_units,3435543.6363636353,0.059764862060546875,-2.5579538487363607e-13,288.9052360057831,302.8501408100128,303.64192295074463,2705130.181818168,2574513.8583128746,48,3233330.9999999916,2270518.1313815587,2707159.000000024,2566603.2437500292,2705381.909090876,2569022.853970476,2705130.181818168,2572341.9928265046,,,,,,,,,,,,,,
benchmarks/output/affine_timing_20260714/results/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all.json,root,affine_timing_20260714,result_document,three_station_v0,,half_cabins_skip_wait,journey_time,,,,,,,,,82398,233193,,,,,,300.40515995025635,2428,1052,0.0651525878950434,,2026-07-14T21:48:25+00:00,5db36ecbe6bf26a4ba2e21d7a4014eb40d72d834,,2704689.090907703,objective_value_seconds,2528471.597183574,best_bound,300.40515995025635,runtime_seconds,,,,,,reported_objective_verify_domain,solver_runtime,82,reported_objective_units,3435543.6363636353,0.07139182090759277,-1.3926637620897964e-12,134.08498883247375,162.90925788879395,300.40515995025635,2704689.0909083514,2528471.597183574,47,3028653.090909046,2463202.3554474544,2707295.3636363605,2504828.7617294486,2704713.454545449,2526950.5066153193,2704689.0909083514,2528471.597183574,300.0,,,,,,,,,,,,,
benchmarks/output/affine_timing_20260714/results/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine.json,root,affine_timing_20260714,result_document,three_station_v0,,half_cabins_skip_wait,journey_time,,,,,,,,,82398,231900,,,,,,303.64192295074463,2424,1056,0.048284671984807744,,2026-07-14T21:53:36+00:00,5db36ecbe6bf26a4ba2e21d7a4014eb40d72d834,,2705130.181818168,objective_value_seconds,2574513.8583128746,best_bound,303.64192295074463,runtime_seconds,,,,,,reported_objective_verify_domain,solver_runtime,86,reported_objective_units,3435543.6363636353,0.059764862060546875,-2.5579538487363607e-13,288.9052360057831,302.8501408100128,303.64192295074463,2705130.181818168,2574513.8583128746,48,3233330.9999999916,2270518.1313815587,2707159.000000024,2566603.2437500292,2705381.909090876,2569022.853970476,2705130.181818168,2572341.9928265046,300.0,,,,,,,,,,,,,
benchmarks/output/artifacts/20260513T121406Z__three_station_v0__ean_passenger_journey_time__exact_optimality__none/three_station_v0/ean_passenger_service_journey_time.json,root,artifacts,artifact_snapshot,three_station_v0,,,,interrupted,,,,1200.0,,,300.0,151974,484989,,,,,,11.654006004333496,896,2584,,,,,,3851870.545454546,objective_value_seconds,,,11.654006004333496,runtime_seconds,,,,,15,reported_objective_verify_domain,,0,reported_objective_units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benchmarks/output/artifacts/20260513T122008Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,artifacts,artifact_snapshot,three_station_v0,,,,time_limit,,,,1200.0,,,300.0,82398,232560,,,,,,300.1494560241699,2429,1051,0.06362006347323881,,,,,2704536.5454545342,objective_value_seconds,2532473.7587670228,best_bound,300.1494560241699,runtime_seconds,,,,,15,reported_objective_verify_domain,,0,reported_objective_units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benchmarks/output/artifacts/20260513T122736Z__three_station_v0__ean_passenger_journey_time__exact_optimality__none/three_station_v0/ean_passenger_service_journey_time.json,root,artifacts,artifact_snapshot,three_station_v0,,,,time_limit,,,,1200.0,,,300.0,151974,484989,,,,,,300.2192630767822,2416,1064,0.0750822951429873,,,,,2705558.090909089,objective_value_seconds,2502418.5798009555,best_bound,300.2192630767822,runtime_seconds,,,,,15,reported_objective_verify_domain,,0,reported_objective_units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benchmarks/output/artifacts/20260513T132325Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning/three_station_v0/ean_passenger_service_journey_time.json,root,artifacts,artifact_snapshot,three_station_v0,,,,time_limit,,,,1200.0,,,300.0,82398,209568,,,,,,300.12758898735046,2416,1064,0.07726993551526662,,,,,2704867.6363636293,objective_value_seconds,2495862.68852448,best_bound,300.12758898735046,runtime_seconds,,,,,15,reported_objective_verify_domain,,0,reported_objective_units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benchmarks/output/artifacts/20260513T134429Z__three_station_v0__ean_passenger_journey_time__exact_optimality__slot_time_relaxation_strengthening/three_station_v0/ean_passenger_service_journey_time.json,root,artifacts,artifact_snapshot,three_station_v0,,,,time_limit,,,,1200.0,,,300.0,151974,577557,,,,,,300.4756259918213,2400,1080,0.06649878844249567,,,,,2710448.8181818034,objective_value_seconds,2530207.2556373193,best_bound,300.4756259918213,runtime_seconds,,,,,15,reported_objective_verify_domain,,0,reported_objective_units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benchmarks/output/artifacts/20260513T150615Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,artifacts,artifact_snapshot,three_station_v0,,,,time_limit,,,,1200.0,,,300.0,82398,232560,,,,,,300.2175259590149,2429,1051,0.06362006347323881,,,,,2704536.5454545342,objective_value_seconds,2532473.7587670228,best_bound,300.2175259590149,runtime_seconds,,,,,15,reported_objective_verify_domain,,0,reported_objective_units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
